Classification,Name,Contact,Communication_Preference,Phone,Invoice_Email,Route,Rating,csp,matchname,city,street,postalcode
Général,DEPANNEUR LECLERC DE LUNE,élie .,Courriel,5142796498,ELIETANAL@HOTMAIL.COM,MTL Ouest,3,,DEPANNEUR LECLERC DE LUNE. - 00410,MONTRÉAL QUÉBEC H2S1N9,35 ST-ZOTIQUE OUEST,H2S1N9
Général,DEPANNEUR PARISOIR,Gilbert / Malouf Specialité mais aucun volume,Cell + Email,5147473574,gilbertocanada@hotmail.com,MTL Ouest,3,,DEPANNEUR PARISOIR. - 00411,ST LAURENT,598 BOULV DECARIE,H4L3K9
Général,DEPANNEUR VILLENEUVE,Vicky,Courriel,5148348002,depa5142786774@gmail.com,MTL Ouest,3,,DEPANNEUR VILLENEUVE. - 00412,MONTRÉAL QUÉBEC H2V2R2,"251, VILLENEUVE OUEST",H2V2R2
EPICERIE DEPANNEUR VIDEO,CLAUDE/TI-BI .,Telephone,4504522729,DEPANNEUR.VIDEO@VIDEOTRON.CA,MTL Ouest,3,,METRO/:EPICERIE DEPANNEUR VIDEO 5685 - 00743,LES CEDRES QUÉBEC J7T 1J3,200-C CHEMIN ST-FÉRÉOL,J7T1J3
Général,ÉPICERIE MODERNE,SOPHIE RICHARD (514.569.0062) .,Courriel,4383861668,COBRAGIRL.01@GMAIL.COM,MTL Ouest,3,,No match,N/A,N/A,N/A
IGA 8253 Marché Atwater,Thierry Fournier ou Guy,,5149330995,iga08253westmount@sobeys.com,MTL Ouest,3,,SOBEYS:IGA 8253 - MARCHE ATWATER. - 00415,MONTRÉAL QUÉBEC H3Z 1X5,1500 AVENUE ATWATER,H3Z1X5
IGA 8378 Extra Vincent,Claude c. 450-921-1958,Cell + Email,4503730251,claude_vincent@cgocable.ca,MTL Ouest,3,,IGA 8378 - EXTRA VINCENT. - 00416,VALLEYFIELD,1366 BOUL. MONT-SEIGNEUR LANGLOIS,J6S1E3
IGA EXTRA FAMILLE LALONDE,Enrico Lalonde,PivoHub/Tel/Courriel,5146855252,iga00517compt@sobeys.com,MTL Ouest,3,,IGA EXTRA FAMILLE LALONDE,DOLLARD-DES-ORMEAUX,11800 DE SALABERRY,H9B2R8
Général,IGA EXTRA FAMILLE VIAU (8248),Mike Deschambeault c. 450-802-8184,Courriel,4504551230,mike@microtournee.com,MTL Ouest,3,,IGA EXTRA FAMILLE VIAU (8248). - 00418,VAUDREUIL-DORION J7V1Y3,249 BLD HARWOOD,J7V1Y3
IGA EXTRA ST-HENRY,PATRICK VERREAULT,Pivohub / tel,5145664221,iga08063hautedirection@sobeys.com,MTL Ouest,3,,No match,N/A,N/A,N/A
Général,IGA Famille Drolet et Paquette,bobby rochefort,Courriel,4502678177poste636,iga08029coteaudulac@sobeys.com,MTL Ouest,3,,No match,N/A,N/A,N/A
Général,IGA FAMILLE DUCHEMIN,Lucie Racine Daniel Duchemin,Telephone,5143368085,IGA08547SAINTLAURENT@SOBEYS.COM,MTL Ouest,3,,IGA FAMILLE DUCHEMIN. - 00420,VILLE ST-LAURENT QUÉBEC H4R0M6,5600 BOUL. HENRI BOURASSA OUEST,H4R0M6
Général,IGA LACHINE-8316,François Nantel,Courriel,5146340124,IGA08316MARCHEJEV@SOBEYS.COM,MTL Ouest,3,,IGA LACHINE (8316). - 00421,LACHINE QUÉBEC H8S3Z4,"490, 28 IÈME AVENUE",H8S3Z4
Général,IGA SUPERMARCHE DON QUICHOTTE,Simon,Courriel,5144533027,IGA00282HAUTEDIRECTION@SOBEYS.COM,MTL Ouest,3,,IGA SUPERMARCHE DON QUICHOTE. - 00422,ÎLE PERROT QUÉBEC J7V6L7,110 BOUL DON QUICHOTE,J7V6L7
Général,MARCHE DE L'ALIMENTATION IGA CHAMPAGNE,Michael,Telephone,5148895593,iga08303verdun@sobeys.com,MTL Ouest,3,,No match,N/A,N/A,N/A
Général,MARCHE G LALIME,Max Lalime (am),Telephone,5142734477,D.LALIME@HOTMAIL.CA,MTL Ouest,3,,MARCHE G. LALIME. - 00425,MONTRÉAL,"6436, ST-LAURENT",H2S3C4
2% Gestion,METRO 0455: METRO FORDHAM,shirley-anne poste 630 cell 450-567-2820,Telephone,4502673343,shirley@metrofordham.com,MTL Ouest,3,,METRO/:MÉTRO 455 - FORDHAM,SAINT-ZOTIQUE QUÉBEC J0P1Z0,350 PRINCIPALE,J0P1Z0
2% Gestion,METRO 22368 : ALIMENTATION ERIC DA-PONTE,Rene Temps d'attente très long,Telephone,5147387377,MF022368OPR@METRO.CA,MTL Ouest,3,,METRO/:MÉTRO ALIMENTATION ÉRIC DA-PONTE 22368.,MONTRÉAL,"5150, ch. de la Côte des Neiges",H3T1X8
2% Gestion,METRO 22399 : ALI FIORELLO VELLUCCI ( westmount ),Denis Cyr (midi),Telephone,5144884083,MF022399OPR@METRO.CA,MTL Ouest,3,,METRO/:MÉTRO ALI. FIORELLO VELLUCCI 22399.,WESTMOUNT,"4840, RUE SHERBROOKE OUEST",H3Z1G8
2% Gestion,METRO 2288 : METRO VAUDREUIL,Christine cell:514-515-1775,Telephone,4504246516,MF022288OPR@METRO.CA,MTL Ouest,3,,No match,N/A,N/A,N/A
2% Gestion,METRO 2289 : METRO LES 5 SAISONS,Jean Jamais mercredi,Courriel,5142761244,MF022289OPR@METRO.CA,MTL Ouest,3,,METRO/:MÉTRO LES 5 SAISONS - 2289.,OUTREMONT,"1180, AVE BERNARD",H2V1V3
2% Gestion,METRO 2330 : ALIMENTATION GUY LEVAC INC,Daniel (je lui ai dis ce qui a de besoin :),Telephone,4503701444,MF022330OPR@METRO.CA,MTL Ouest,3,,METRO/:MÉTRO ALIMENTATION GUY LEVAC INC - 2330.,SALLABERRY-DE-VALLEYFIELD,"398, Ch. Larocque",J6T4C5
2% Gestion,METRO 2391 : ALIMENTATION D COUTU (1996) INC,Daniel Robichaud apres 14h,Telephone,5146976520,MF022391OPR@METRO.CA,MTL Ouest,3,,METRO/:MÉTRO ALIMENTATION D. COUTU (1996) INC 2391.,POINTE-CLAIRE,"325, BOUL ST-JEAN",H9R3J1
Général,METRO 2416 : ALIMENTATION FRANÇOIS GERMAIN,Daniel Savard,Telephone,5149384747,MF022416OPR@METRO.CA,MTL Ouest,3,,METRO/:MÉTRO ALIMENTATION FRANÇOIS GERMAIN 2416.,MONTRÉAL,1230 NOTRE-DAME OUEST,H3C1K6
Général,METRO 2423: ALIMENTATION ISABELLE PIERRE-AUGUSTE I,jessy .,,5148433530,,MTL Ouest,3,,METRO/:MÉTRO 2423 ALIMENTATION ISABELLE PIERRE-AUGUSTE I,MONTRÉAL H2X3P9,"3575, ave. Du Parc, suite 5100",H2X3P9
2% Gestion,Metro 2431 Plus Dollard (Alimentation Remi Arbour),Gerlin .,Phone,5143643492,mf022431opr@metro.ca,MTL Ouest,3,,No match,N/A,N/A,N/A
2% Gestion,METRO 2482 : ALIMENTATION ERIC HAUPTMAN (2004) INC,Luc,Telephone,5144885171,,MTL Ouest,3,,METRO/:MÉTRO ALIMENTATION KHALID AZA INC. 22482,MONTRÉAL,"5201, CHEM QUEEN MARY",H3W1Y2
2% Gestion,METRO SUPER C 5952 : ATWATER,Yan-Erick 514-917-0760 cell,Telephone,5149393542,,MTL Ouest,3,,METRO/:MÉTRO SUPER C ATWATER 5952,MONTRÉAL QUÉBEC H3J 2J4,147 AVENUE ATWATER,H3J2J4
Général,Provigo Île des Soeurs 8807,Maxime Gauthier,Cell + Email,5147617207,smp8807g@provigo.ca,MTL Ouest,3,,LOBLAW:PROVIGO ILE DES SOEURS,,LOBLAWS
Général,PROVIGO MONA TURBIDE,Walter .,Telephone,5144827273,SMP8657D@PROVIGO.CA,MTL Ouest,3,,No match,N/A,N/A,N/A
Général,Provigo montreal St-Jacques (8808),Graham Barret,Cell + Email,5144816959,smp8808g@provigo.ca,MTL Ouest,3,,LOBLAW:PROVIGO MONTREAL ST-JACQUES,,LOBLAWS
Général,Supermarche Lipari Inc,Tony 514-928-0772,Telephone,5144863254,iga00108epicerie@sobeys.com,MTL Ouest,3,,SUPERMARCHE LIPARI - 00825,COTE-ST-LUC,7151 CH. COTE-ST-LUC,H4V1J2
Général,SUPREMARCHE CLIFTON (MARCHE AMI),,Telephone,5144863851,,MTL Ouest,3,,SUPERMARCHE CLIFTON,LACHINE,6001 CH. UPPER,H4A2C3
WJW WALTER VAUDREUIL,luc laprairie,,4504553339,,MTL Ouest,3,,WILLIAM J. WALTER VAUDREUIL - 00826,VAUDREUIL-DORION,"22800 CH. DUMBERRY, #11",J7V0M8
Général,IGA GESTION FAMILLE DEZIEL,claude .,Telephone,4504243549,iga0056vaudreuil@sobeys.com,MTL Ouest,4,,IGA GESTION FAMILLE DEZIEL. - 00428,SUITE 500,585 ST-CHARLES
ITE500
Général,IGA MARTIN JPJ,Pierre Martin C. 514-273-9364,Courriel,5146842807,IGA08543COMPT@SOBEYS.COM,MTL Ouest,4,,IGA ALIMENTATION MARTIN J.P.J. - 00427,PIERREFOND QUÉBEC H8Y3K8,11130 MEIGHEN,H8Y3K8
2% Gestion,METRO 0206: METRO RIGAUD,Francois .,Courriel,4504510520,MA000206ADM@METRO.CA,MTL Ouest,4,,METRO/:MÉTRO RIGAUD 0206.,RIGAUD QUÉBEC JOP1P0,"466, CHEMIN GRANDE LIGNE",JOP1P0
2% Gestion,METRO 22434: METRO,Vincent .,Telephone,5147473145,,MTL Ouest,4,,METRO/:MÉTRO CÔTE-VERTU 2046.,MONTRÉAL,"740, boul. de la Côte-Vertu #134",H4L5C8
2% Gestion,METRO 2427 : ALIMENTATION ISABELLE PIERRE AUGUSTE,Leo Durocher 83jours - longue attente Tél,Telephone,5144863042,MF022423OPR@METRO.CA,MTL Ouest,4,,METRO/:MÉTRO 2427 ALIMENTATION ISABELLE PIERRE AUGUSTE.,MONTRÉAL,"6645, AVE SOMERLED",H4W1T3
2% Gestion,METRO 2435 : ALIMENTATION ALESSANDRO GENTILE INC,thomas ou amin,Telephone,5146952411,,MTL Ouest,4,,METRO/:MÉTRO ALIMENTATION ALESSANDRO GENTILE INC 2435.,KIRKLAND,"3801, ST-CHARLES",H294M4
Général,MARCHE FRANCY,Caroline Atine,Courriel,5148461296,,MTL Ouest,5,,MARCHE FRANCY. - 00424,MONTREAL,901 RUE CHARLEVOIX,H3K2Y9
2% Gestion,METRO 4509 : METRO DEPANNEUR ALAIN,Alain,Courriel,4503713157,DEPANNEURALAIN1@GMAIL.COM,MTL Ouest,5,,METRO/:MÉTRO DÉPANNEUR ALAIN - 4509.,SALLABERRY-VALLEYFIELD QUÉBEC J6S5A3,"950, RUE LÉGER",J6S5A3
2% Gestion,METRO 5944:METRO SUPER C VALLEYFIELD,René. 54jours rien,Telephone,4503734543,MS005944ADM@METRO.CA,MTL Ouest,5,,METRO/:MÉTRO SUPER C VALLEYFIELD 5944,VALLEYFIELD QUÉBEC J6S 1E3,"1620, BOUL. MRG LANGLOIS",J6S1E3
LE MONOPOLE CAFÉ,Gabriel Gallant,PivoHub/Courriel,5145049906,monopole.cafe@gmail.com,MTL Ouest,,csp,No match,N/A,N/A,N/A
Général,BIER MARKT,Ian McLeod,Courriel,5148647575,exploitation.montreal@recipeunlimited.com,MTL Ouest,1,csp,No match,N/A,N/A,N/A
Général,BISTRO VICE VERSA,Yan,Courriel,5148062100,sommelier@vicesetversa.com,MTL Ouest,1,csp,No match,N/A,N/A,N/A
Général,BAR DARLING,Marcos Almaguer,Courriel,5143791233,marcos@bardarling.com,MTL Ouest,2,csp,BAR DARLING. - 00434,MONTRÉAL QUÉBEC H2W1Z3,4328 BOUL ST-LAURENT,H2W1Z3
Microbrasserie,BRASSERIE HARRICANA,Francis Richer,Courriel,,mpveilleux@brasserieharricana.com,MTL Ouest,2,csp,No match,N/A,N/A,N/A
Général,CANDIDE,Carole (418-760380),Courriel,5144472717,info@restaurantcandide.com,MTL Ouest,2,csp,No match,N/A,N/A,N/A
Général,CONCEPT TOM MONTREAL,Gianni .,,5149495484,hugo.deligny@timeoutmarket.com,MTL Ouest,2,csp,No match,N/A,N/A,N/A
Général,FAIRMONT LE REINE ELIZABETH,Carmin Iantosca,Courriel,4385018050,carmine.iantosca@fairmont.com,MTL Ouest,2,csp,No match,N/A,N/A,N/A
PUB BREWSKEY,Guillaume,Courriel,5142402201,guillaume@brewskey.ca,MTL Ouest,2,csp,No match,N/A,N/A,N/A
Général,ACCORDS BISTRO,Vincent Bergeron,Courriel,5145082122,SOMMELLERIE-BISTRO@ACCORDS.CA,MTL Ouest,3,csp,ACCORDS BISTRO. - 00433,MONTRÉAL QUÉBEC H2X1K4,22 RUE STE-CATHERINE EST,H2X1K4
Général,LES 100 GENIS,Par Courriel Only,Courriel,5143968887,pub.gerant@aeets.com,MTL Ouest,3,csp,LES 100 GENIS. - 00431,MONTRÉAL QUÉBEC H3C 6M8,530 RUE PEEL,H3C6M8
Général,PUB CAFE LA MAÎTRESSE,Geneviève Cadrin,Courriel,4506015407,PUBCAFELAMAITRESSE@GMAIL.COM,MTL Ouest,3,csp,PUB CAFE LA MAITRESSE. - 00443,VALLEYFIELD QUÉBEC J6T1X2,144 RUE CHAMPLAIN,J6T1X2
Général,TAVERNE DE LA FERME,Summer Eastwood,Courriel,4508292028,Summer.eastwood@gmail.comINFO@TAVERNEDELAFERME.CA,MTL Ouest,3,csp,TAVERNE DE LA FERME. - 00444,ORMSTOWN QUÉBEC J0S1K0,24 RUE BRIDGE,J0S1K0
Général,9374-7889 QUEBEC INC.,Francois Dallaire Autre; 514-842-2912,Courriel,5149783865,francois@restaurantepik.com,MTL Ouest,4,csp,9374-9889 QUEBEC INC. - 00744,,"204, PLACE D'YOUVILLE"
Général,BIRRA BAR À BIÈRES,Weena Cliche,Courriel,5144473154,INFO@BIRRA.CA,MTL Ouest,4,csp,No match,N/A,N/A,N/A
Général,CARIBOU GOURMAND,Christophe .,Courriel,4383876677,CARIBOUBISTRO@GMAIL.COM,MTL Ouest,5,csp,No match,N/A,N/A,N/A
DBSQ + AA,BOUTIQUE BROUE HAHA,gilles pommet,Courriel,8195033906,commandes@brouehaha.com,Outaouais,1,,BOUTIQUE BROUE HA HA. - 00446,GATINEAU,"867, BOUL ST-RENÉ OUEST",J8T7X6
AA,DEPANNEUR RAPIDO,sandra gestionlopes@hotmail.com,Cell + Email,8196847345,gestionsandralopes@hotmail.com,Outaouais,2,,DEPANNEUR RAPIDO. - 00447,GATINEAU,"43, FRONT",J9H4X4
Général,IGA EXTRA DES GRIVES,Steven,Courriel,8197711616,sjp101@live.ca,Outaouais,2,,IGA EXTRA DES GRIVES. - 00448,GATINEAU QUÉBEC J9A0C7,203 BOUL. DES GRIVES,J9A0C7
Général,IGA EXTRA FAMILLE CHARLES,MARTIN GRAVEL,Telephone,8194592326,mgravel@marquevel.com,Outaouais,2,,SOBEYS:IGA 8371 CHELSEA. - 00454,CHELSEA QUÉBEC J9B1PA,1703 ROUTE 105,J9B1PA
Général,LE BRASSE-CAMARADE,Frederic,Courriel,8199831922,lebrassecamarade@hotmail.com,Outaouais,2,,LE BRASSE-CAMARADE. - 00450,St-André-Avellin,71 rue principale,J0V1W0
AA,WJW FINES ET FUTES,Serge,Courriel,,serge@fineetfutes.ca,Outaouais,2,,No match,N/A,N/A,N/A
2% Gestion,2471 METRO LIMBOURG (ALIMENTATION FREDERIK LEBLANC),CEDRICK .(819-208-5949) .,Telephone,8195613772,,Outaouais,3,,No match,N/A,N/A,N/A
2% Gestion,6959 (METRO) 9364-5661 QUÉBEC INC.(DÉPANNEUR BONNE-HEURE,wen wen,Telephone,8194593434,,Outaouais,3,,No match,N/A,N/A,N/A
Général,GARAGE PIERRE PAUL DESFORGES,Marie-Ève,Courriel,8192421234,petroact@hotmail.com,Outaouais,3,,GARAGE PIERRE PAUL DESFORGES. - 00452,GRENVILLE,"13, RUE MARPLE",J0V1J0
IGA  Famille Plante,Dominick .,Cell + Email,8198937890,iga08010hautedirection@sobeys.com,Outaouais,3,,IGA FAMILLE PLANTE,GATINEAU,1248 BOUL. DE LA VÉRANDRYE EST,J8P0A9
Général,IGA EXTRA FAMILLE PLANTE,Mathieu Lauzon,Telephone,8197727774,IGA08501GATINEAU@SOBEYS.COM,Outaouais,3,,IGA EXTRA FAMILLE PLANTE. - 00453,GATINEAU QUÉBEC J8Z1T3,1130 BOUL. ST-JOSEPH,J8Z1T3
Général,IGA FAMILLE CHARLES CHELSEA 08371,MARTIN GRAVEL .,Courriel,8194592326,mgravel@marquevel.com,Outaouais,3,,SOBEYS:IGA 8371 CHELSEA. - 00454,CHELSEA QUÉBEC J9B1PA,1703 ROUTE 105,J9B1PA
IGA Saint-Jacques 2038578,Olivier clément poste 246,Pivohub / tel,8196433384,iga08023gatineau@sobeys.com,Outaouais,3,,No match,N/A,N/A,N/A
Général,IGA ST-JOSEPH (PLACE CARTIER),Mathieu lepine,Phone,8197709132,IGA08476hautedirection@SOBEYS.COM,Outaouais,3,,SOBEYS:IGA ST-JOSEPH (PLACE CARTIER). - 00455,GATINEAU QUÉBEC J8Y3Z8,"425, BOUL ST-JOSEPH",J8Y3Z8
Général,MARCHE WAKIM,alexis .,Courriel,8192051533,sir.arochon@gmail.com,Outaouais,3,,WILLIAM J. WALTER HULL-GATINEAU (MARCHE WAKIM). - 00742,local 119,320 SAINT-JOSPEH
cal119
Général,METRO 1098 : METRO PLUS AYLMER,Zach,Telephone,8196853490,MA001098ADM@METRO.CA,Outaouais,3,,METRO/:MÉTRO PLUS AYLMER - 1098.,GATINEAU QUÉBEC J9J1V2,"799, BOUL. WILFRID-LAVIGNE",J9J1V2
2% Gestion,METRO 20112 : METRO KELLY MALONEY,Stephane roystef99@hotmail.com,Courriel,8196432353,MA020112ADM@METRO.CA,Outaouais,3,,METRO/:MÉTRO KELLY MALONEY 20112.,GATINEAU QUÉBEC J8P1H5,910 MALONEY EST,J8P1H5
2% Gestion,METRO 20122 : CHENEVILLE,Mario Hince,Courriel,8194283966,mariohince@hotmail.com,Outaouais,3,,METRO/:MÉTRO CHENEVILLE - 20122.,CHENEVILLE QUÉBEC J0V1E0,45 ALBERT-FERLAND,J0V1E0
2% Gestion,METRO 22339 : ALIMENTATION REJEAN COSSETTE,Mr Campeau,Telephone,8195615478,MF022339OPR@METRO.CA,Outaouais,3,,METRO/:MÉTRO ALIMENTATION RÉJEAN COSSETTE 22339.,GATINEAU QUÉBEC J8P0B1,435 MONTÉE PAIEMENT,J8P0B1
Général,METRO 2283 : METRO PLUS BUCKINGHAM,Daniel Parent,Telephone,8199865761,MF022283OPR@METRO.CA,Outaouais,3,,METRO/:MÉTRO PLUS 2283 - ALIMENTATION MICHEL HALLORAN,GATINEAU,"180, AVENU LÉPINE",J8L4M4
2% Gestion,METRO 2400 : ALIMENTATION PHILIPPE PILON,Tristan (app jeudi),Telephone,8197787330,MF022400OPR@METRO.CA,Outaouais,3,,METRO/:MÉTRO ALIMENTATION PHILIPPE PILON - 2400.,GATINEAU J8Y6S8,"214, Boulevard De La Cité-Des-Jeunes",J8Y6S8
2% Gestion,METRO 3614 : METRO MARCHE G ISABELLE,Joel Isabelle,Courriel,8197773843,joel.marchegisabelle@gmail.com,Outaouais,3,,METRO/:MÉTRO MARCHÉ G. ISABELLE 3614,HULL QUÉBEC J8X 2S3,166. ST-RÉDEMPTEUR,J8X2S3
Général,Provigo Aylmer Le Marché #8638,Stéphane Normand c.819-209-0435 Frigo :),Phone,8192090435,smp8638c@provigo.ca,Outaouais,3,,No match,N/A,N/A,N/A
2% Gestion,Super C Hull du Plateau 5958,Gaston Rivet,Cell + Email,8197727730,ms025958opr@metro.ca,Outaouais,3,,No match,N/A,N/A,N/A
Général,IGA FAMILLE CHARLES CANTLEY,Martin Gravel,Courriel,8198272984,mgravel@marquevel.com,Outaouais,4,,No match,N/A,N/A,N/A
Général,LE MARCHE (MARCHE OMNI-9133569 CANADA INC),Claude,Courriel,8197779921,MARCHE.OMNI@VIDEOTRON.CA,Outaouais,4,,No match,N/A,N/A,N/A
2% Gestion,METRO 1303 : METRO MARCHE RICHELIEU VAL-DES-MONTS,Jean-François veut des canettes,Telephone,8196712282,richelieuvaldesmonts@gmail.com,Outaouais,4,,METRO/:MÉTRO MARCHÉ RICHELIEU VAL-DES-MONTS 1303.,VAL-DES-MONTS QUÉBEC J8N7E9,"1732, RUE DU CARREFOUR",J8N7E9
2% Gestion,METRO 20121: METRO MARCHÉ ST-ANDRÉ AVELIN,Benoit Desrochers .,Courriel,8199837966,MA020121MGR@METRO.CA,Outaouais,4,,METRO/:MÉTRO ST-ANDRÉ 20121,ST-ANDRÉ AVELLIN QUÉBEC J0V 1W0,110-90 RUE PRINCIPALE,J0V1W0
Général,PROVIGO FRAN. GATINEAU 8542,denis béland eric renaud (maladie),Courriel,8197717701,ERIC1REN25@GMAIL.COM,Outaouais,4,,LOBLAW:PROVIGO GATINEAU 8542,,LOBLAWS INC 8542
Général,DEPANNEUR 8348,Luc / Fannie,Courriel,4505628348,DEPANNEUR8348@HOTMAIL.COM,Outaouais,5,,DEPANNEUR 8348. - 00460,LACHUTE QUÉBEC J8H 1M8,168 AVENUE BÉTHANY,J8H1M8
Général,LA MAISON BISSON INC,Alain,Courriel,8197720702,abisson@lamaisonbisson.ca,Outaouais,5,,LA MAISON DES BRASSEURS D'ICI INC ( RUE EDDY).,GATINEAU QUÉBEC,66 RUE EDDY,QUÉBEC
Général,SUPER C HULL 5914,eric Proulx,Telephone,8195951344,,Outaouais,5,,METRO/:SUPER C HULL 5914. - 00461,GATINEAU,725 A. BOUL DE LA CARRIÈRE,J8Y679
Général,BISTRO L'AUTRE OEIL (FÛT),daniel / etienne,Telephone,8196821221,INFO@LAUTREOEIL.COM,Outaouais,2,csp,BISTRO L'AUTRE OEIL. - 00462,GATINEAU,"152, RUE PRINCIPALE",J9H3L4
Général,"LE CLANDESTIN, CUISINE CREATIVE INC",Eric,,,ERICDUCHESNE84@GMAIL.COM,Outaouais,2,csp,No match,N/A,N/A,N/A
Général,LE MINOTAURE,Phil phil@ambassade.ca Tristan,Courriel,8196006466,phil@ambassade.ca,Outaouais,2,csp,LE MINOTAURE. - 00464,GATINEAU QUÉBEC J8X3J8,3 RUE KENT,J8X3J8
Général,BIÈRE-Ô-LOO,Jessika Lemay,Courriel,4507759781,INFO@BIEREOLOO.CA,Outaouais,3,csp,BIERE-O-LOO. - 00465,WATERLOO QUÉBEC JOE2NO,4920 RUE FOSTER,JOE2NO
Général,RESTAURANT EDGAR (9870164 CANADA INC),MARYSOL FOUCAULT . c:819-743-0040,Cell + Email,8192051110,marysol.foucault@gmail.com,Outaouais,3,csp,RESTAURANT EDGAR (9870164 INC) - 00769,GATINEAU,60 RUE BEGIN,J9A1C8
Général,RUSTIEK INC,Jesse,Courriel,8195253343,JESSECHARETTE@HOTMAIL.COM,Outaouais,3,csp,No match,N/A,N/A,N/A
Général,550 HALTE MULTI-SERVICES,Eliane Pascale pellletier,Telephone,4183562933,bs02096stpamphile@sobeys.com,QC Sud-Est,3,,550 HALTE MULTI-SERVICES. - 00476,ST-PAMPHILE QUÉBEC G0R3X0,550 RUE PRINCIPALE,G0R3X0
Chez doyon et frères,Jérome Doyon,Cell + Email,4182494091,doyon1977@gmail.com,QC Sud-Est,3,,No match,N/A,N/A,N/A
Général,DEPANNEUR LANDRY,Melanie Joncas / Mariette Landry,Courriel,4182489620,DV01265MONTMAGNY@SOBEYS.COM,QC Sud-Est,3,,DEPANNEUR LANDRY. - 00447,MONTMAGNY QUÉBEC G5V3R9,100 MONTÉE DE LA RIVIÈRE DU SUD,G5V3R9
Général,IGA EXTRA MONTMAGNY,Marc-Andre / Laurin / Mario,Courriel,4182481230,COOP2.MONTMAGNY@GLOBETROTTER.NET,QC Sud-Est,3,,IGA EXTRA MONTMAGNY. - 00478,MONTMAGNY QUÉBEC G5V3B1,70 BOUL. TACHÉ OUEST,G5V3B1
Général,Le moule a sucre,Roberto Di Giulio,Cell + Email,5149265284,roberto@lamouleasucre.com,QC Sud-Est,3,,LA MOULE A SUCRE - 00810,ST-JEAN-PORT-JOLI,248 CH. DE GASPÉ EST,G0R3G0
Général,Marche AUBONNE OPERATION,DOMINIQUE BÉRUBÉ Sur tablette new layout,Telephone,4182475206,tra00779lislet@sobeys.com,QC Sud-Est,3,,AUX BONNES OPERATIONS - 00753,SAINT-JEAN-PORT-JOLI,93 7EME RUE LISLET,G0R2C0
Général,Marche Caron inc.,Jean-Michel Caron,Cell + Email,4188623639,j_mitch23@hotmail.com,QC Sud-Est,3,,MARCHE CARON INC - 00821,SAINT-ANTONIN,733 CH. RIVIERE-VERTE,G0L2J0
Général,Marché des Aulnais,Marco Pelletier,Cell + Email,4189190644,marcop35@videotron.ca,QC Sud-Est,3,,9376-8379 QC INC - MARCHE DES AULNAIS - 00796,ST-ROCH-DES-AULNAIS,943 DE LA SEIGNEURIE,G0R4E0
2% Gestion,METRO 4636 - MARCHÉ G ET S,GAETAN (418-234-2690)/JOËLLE . .,Courriel,4185983728,marchegs@globetrotter.net,QC Sud-Est,3,,METRO/:METRO 4636 - MARCHE G ET S. - 00730,SAINT-JEAN-PORT-JOLI,74 AVE. DE GASPÉ EST,G0R3G0
