Classification,Name,Contact,Communication_Preference,Phone,Invoice_Email,Route,Rating,csp,,matchname,city,street,postalcode
Général,IGA GRANDE-RIVIÈRE,Serge cell: 782-6190,Telephone,4183853494,IGA08372GRANDE-RIVIERE@SOBEYS.COM,Local,3,,,SOBEYS:IGA GRANDE-RIVIÈRE. - 00234,GRANDE RIVIERE,143 GRANDE ALLEE E.,G0C1V0
Général,MARCHE GUY DESBOIS,Rejean cell: 418 782-6454,Telephone,4183852110,bx04304marchedesbois@sobeys.com,Local,3,,,MARCHÉ GUY DESBOIS. - 00235,STE THERESE DE GASPE,209 RTE 132,G0C3B0
2% Gestion,METRO 25997 : MÉTRO SUPER C CHANDLER,Pascal 689-6999,Telephone,4186896999,,Local,3,,,METRO/:MÉTRO CHANDLER MARCHÉ DOIRON.,CHANDLER,175  RENE-LEVESQUES EST,G0C1K0
2% Gestion,METRO 6259: METRO MARCHE DORE GASCON,Michel cell: 752-0296,Telephone,4183965659,michelparise74@gmail.com,Local,3,,,METRO/:MÉTRO MARCHÉ DOR-E GASCON 6259.,GASCON,140 RTE 132  EST,G0C1P0
PÉTROLE CADEKO CHANDLER,Michel,Tel + Courriel,4186894909,pc077@cadeko.ca,Local,3,,,PETROLES CADEKO:PÉTROLE CADÉKO CHANDLER (77). - 00236,CHANDLER,"55, BOUL RENÉ-LÉVESQUE EST",G0C1K0
Général,POISSONNERIE LELIEVRE & LEMOIGNAN,Johnny,Telephone,4183853110,lelem@cgocable.ca,Local,3,,,POISSONNERIE LELIEVRE & LEMOIGNAN. - 00237,STE THERESE DE GASPE,52 RUE DES VIGNEAUX,G0C3B0
Général,SHELL CHANDLER,Christian/jean Marc,Telephone,4186893063,christoblag@hotmail.com,Local,3,,,No match,N/A,N/A,N/A
Général,AU BAR DE LA 132,Dave / Josee cell: 418-680-3375,Telephone,4186803350,LOLEYY@HOTMAIL.COM,Local,3,csp,,No match,N/A,N/A,N/A
Général,AU COQ D'OR,Alain,Telephone,4183852733,coq.dor@live.ca,Local,3,csp,,AU COQ D'OR. - 00241,GRANDE-RIVIÈRE G0C1V0,"173A, GRANDE-ALLÉE EST",G0C1V0
Général,BAR LE CAMELEON CSP,Joël,Telephone,4187826556,joelberthelot@hotmail.com,Local,3,csp,,No match,N/A,N/A,N/A
Général,CORPORATION DU BOURG DE PABOS,Elsa / Mickael 418-689-0593,Telephone,4186896043,bourg@globetrotter.net,Local,3,csp,,CORPORATION DU BOURG DE PABOS. - 00243,PABOS MILLS,"75, RUE DE LA PLAGE",G0C2J0
Saisonnier,ECOLE DES PÊCHES,,Telephone,4186164227,ERROUSSY@CEGEPGIM.CA,Local,3,csp,,ÉCOLE DES PÊCHES. - 00244,GRANDE-RIVIÈRE,167 GRANDE-ALLÉE EST,GOC1V0
Saisonnier,GOLF CHANDLER,JASMINE BOUCHARD .,Telephone,4186893255,,Local,3,csp,,No match,N/A,N/A,N/A
Général,LE CAFE DU CENTRE,Jean-Claude cell: 418 782-6419,Telephone,4187826419,A.COUTURE@HOTMAIL.COM,Local,3,csp,,LE CAFÉ DU CENTRE. - 00246,CAP D'ESPOIR QUÉBEC GOC1G0,"40, CURÉ POIRIER",GOC1G0
Général,MOTEL CHANDLER,Maxime 689-0933,Telephone,4186894444,MOTELCHANDLER@GLOBETROTTER.NET,Local,3,csp,,MOTEL CHANDLER. - 00247,CHANDLER,515 DAIGNEAULT,G0C1K0
Général,MOTEL DU RIVAGE,Lise,Telephone,4183852221,COMPTABILITELD.JEANNINE@HOTMAIL.COM,Local,3,csp,,MOTEL DU RIVAGE. - 00248,GRANDE-RIVIERE,97 GRANDE-ALLÉE EST,G0C1V0
Général,MOTEL FRASER,Aristide (418-616-0280) .,Telephone,4186892281,info@motelfraser.com,Local,3,csp,,MOTEL FRASER. - 00249,Chandler,325 RTE 132,G0C1K0
Général,RESTAURANT ATTABLE,Christopher 418 680-4529,Telephone,,CHRISTIAN.DEA@GROUPEDB.COM,Local,3,csp,,No match,N/A,N/A,N/A
Général,RESTAURANT LE VORACE,Steve Lafontaine ferme 15oct-1nov,Telephone,,LEVORACE@ICLOUD.COM,Local,3,csp,,No match,N/A,N/A,N/A
Général,RESTO LA CHALOUPE,Edith 689-0998,Telephone,4186896500,lachaloupe2004@hotmail.com,Local,3,csp,,RESTO LA CHALOUPE. - 00253,PABOS,399  BOUL PABOS,GOC2H0
Général,RESTO-PUB 1855,Marie-Pier,Telephone,4187773118,comptabiliteld.etatdecompte@hotmail.com,Local,3,csp,,RESTO-PUB 1855.,NEWPORT QUÉBEC GOC2A0,704 RTE 132,GOC2A0
Général,COOP MARCHE AMI PERCE,Stephane / Dannick,Telephone,4187825211,COOPPERCE@GMAIL.COM,Local (Percé),1,,,COOP MARCHÉ AMI PERCÉ. - 00254,PERCE,RTE 132,G0C2L0
Saisonnier,DEPANNEUR DEPRES DEPRES,Aurore,Telephone,4187821400,DDESPRES@HOTMAIL.CA,Local (Percé),3,,,DÉPANNEUR DEPRES DEPRES. - 00255,PERCÉ,"186, ROUTE 132 OUEST",G0C2L0
Général,FUMOIR LE PATERNEL,Alain Bujold,Telephone,4187824342,fumoir.le.paternel@gmail.com,Local (Percé),3,,,FUMOIR LE PATERNEL. - 00256,Percé Québec G0C2L0,"23, route Bilodeau",G0C2L0
PUB PIT CARIBOU PERCÉ,ALEX .,Cell Phone,,,Local (Percé),1,csp,,No match,N/A,N/A,N/A
Festi-Neige Percé,Dave Donahue .,Telephone,4187832387,,Local (Percé),1,csp,,No match,N/A,N/A,N/A
